City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
34,Tynda,RU,55.1667,124.7167,-3.71,71,87,5.19,overcast clouds
35,Fort Morgan,US,40.2503,-103.8,25.81,63,100,9.22,overcast clouds
36,Tonj,SS,7.2737,28.6822,77.97,19,36,8.23,scattered clouds
37,Barrow,US,71.2906,-156.7887,-34.58,100,0,3.44,mist
38,Limbang,MY,4.75,115.0,86.11,82,100,3.04,overcast clouds
39,Bathsheba,BB,13.2167,-59.5167,77.61,65,20,19.57,few clouds
40,Flinders,AU,-34.5833,150.8552,70.25,87,79,5.99,light rain
41,Ahipara,NZ,-35.1667,173.1667,76.39,90,89,23.31,overcast clouds
42,Kahului,US,20.8947,-156.47,74.84,78,20,5.99,few clouds
43,Cherskiy,RU,68.75,161.3,-33.03,100,100,6.58,overcast clouds
44,Atuona,PF,-9.8,-139.0333,77.54,77,8,13.49,light rain
